AGE,SEX,SCHL,WORK,INCOME
38,여,전문학사,기업,19200
47,여,전문학사,공무원,60000
26,여,전문학사,기업,36000
26,남,전문학사,자영업,70000
35,남,전문학사,기업,105000
34,여,학사,비영리단체,40000
38,여,학사,기업,90000
38,남,석사,기업,108000
43,남,고졸,자영업,120000
47,여,중졸이하,기업,15000
30,남,중졸이하,기업,7630
47,남,고졸,기업,85000
45,여,석사,기업,70000
46,남,석사,자영업,50000
38,남,학사,기업,65000
32,여,전문학사,기업,33000
47,남,전문학사,기업,82030
24,여,전문학사,기업,30000
47,남,학사,기업,120000
43,남,고졸,공무원,75000
40,여,전문학사,기업,43000
36,여,석사,공무원,66000
36,남,고졸,자영업,125200
43,여,고졸,기업,37000
47,남,석사,자영업,80000
29,남,학사,자영업,39300
28,여,학사,비영리단체,31600
47,여,중졸이하,비영리단체,30000
23,여,고졸,기업,32000
44,여,전문학사,기업,20000
40,남,학사,기업,30000
null,남,전문학사,공무원,50000
40,여,전문학사,기업,80000
29,여,학사,기업,13000
36,남,학사,기업,45000
33,남,학사,기업,56100
40,남,중졸이하,기업,45000
44,남,고졸,기업,58000
34,남,학사,기업,92000
45,남,고졸,기업,32500
23,남,학사,기업,20000
23,여,학사,기업,27000
22,남,전문학사,기업,3000
26,남,학사,공무원,39600
48,여,석사,기업,42010
38,남,전문학사,기업,27800
48,남,전문학사,기업,22000
46,여,고졸,비영리단체,30000
25,여,전문학사,기업,30000
50,여,고졸,기업,37000
47,여,학사,기업,100000
39,남,전문학사,기업,70000
38,여,전문학사,비영리단체,7000
50,여,전문학사,기업,39020
26,여,전문학사,기업,31500
30,여,고졸,기업,31500
48,남,학사,기업,137000
50,여,전문학사,자영업,19200
43,여,고졸,기업,47000
21,여,전문학사,기업,14000
22,남,고졸,비영리단체,6000
36,남,고졸,기업,25000
40,여,고졸,기업,36000
48,남,고졸,기업,24000
34,남,전문학사,기업,68000
33,남,학사,자영업,51000
36,남,고졸,기업,28300
26,남,학사,기업,32000
48,남,전문학사,기업,57000
37,여,고졸,기업,90000
43,남,학사,비영리단체,34500
41,여,학사,기업,55000
34,남,고졸,비영리단체,40000
29,남,전문학사,공무원,60000
39,남,학사,공무원,50000
38,여,학사,비영리단체,45000
36,남,석사,기업,55000
31,여,학사,기업,45000
41,남,석사,비영리단체,190000
43,여,고졸,공무원,60000
30,남,학사,기업,67000
41,남,전문학사,자영업,35000
36,남,고졸,기업,55000
32,남,고졸,기업,54000
44,여,전문학사,기업,90000
48,여,고졸,기업,52000
29,남,전문학사,기업,50000
20,여,고졸,기업,8000
50,여,고졸,비영리단체,15600
45,남,전문학사,기업,80000
33,여,석사,비영리단체,188000
38,남,석사,비영리단체,170000
37,여,전문학사,기업,53200
21,남,전문학사,기업,12000
49,여,고졸,기업,25000
24,남,고졸,기업,50000
50,남,중졸이하,자영업,20000
38,여,고졸,기업,14000
40,남,고졸,기업,56000
44,남,전문학사,공무원,55000
50,여,전문학사,공무원,78000
25,여,전문학사,공무원,11900
41,남,중졸이하,기업,12500
39,남,전문학사,자영업,25000
45,남,고졸,기업,22000
29,남,전문학사,비영리단체,40000
38,남,전문학사,공무원,50000
32,여,전문학사,기업,30000
45,남,전문학사,공무원,45000
41,여,석사,공무원,45000
41,남,전문학사,기업,28000
43,여,전문학사,기업,93000
47,남,고졸,기업,21000
29,남,학사,공무원,65000
42,남,고졸,자영업,3200
43,남,전문학사,기업,41000
42,여,전문학사,기업,22000
42,여,고졸,기업,38000
41,남,학사,기업,117000
31,남,전문학사,기업,55000
22,남,고졸,비영리단체,17500
41,남,고졸,기업,39800
40,여,석사,공무원,34300
45,남,고졸,기업,47800
29,남,전문학사,공무원,70000
21,남,중졸이하,기업,5800
27,남,전문학사,기업,46000
27,남,중졸이하,기업,40000
44,남,중졸이하,기업,26000
41,여,고졸,기업,71000
47,남,고졸,기업,37000
40,여,고졸,비영리단체,31000
31,남,고졸,기업,35600
47,남,전문학사,기업,42800
37,여,전문학사,기업,114500
44,여,고졸,기업,48600
46,여,전문학사,기업,44200
49,여,학사,공무원,52000
44,여,전문학사,기업,32000
42,여,고졸,기업,17000
28,남,석사,공무원,65000
32,남,학사,기업,27000
29,여,전문학사,비영리단체,8000
33,남,고졸,기업,35000
38,남,학사,기업,80000
38,여,석사,비영리단체,50000
29,남,고졸,기업,30000
40,남,학사,기업,72000
32,남,중졸이하,기업,22000
40,여,중졸이하,자영업,30000
42,남,전문학사,기업,66240
25,남,전문학사,기업,20000
24,여,학사,기업,32000
26,여,중졸이하,자영업,27200
31,남,중졸이하,기업,18200
45,남,중졸이하,기업,73200
43,여,전문학사,기업,37300
26,여,학사,기업,106000
32,남,전문학사,기업,26000
33,남,중졸이하,기업,16800
40,여,전문학사,기업,80000
25,남,중졸이하,기업,13000
44,남,학사,공무원,83000
50,여,석사,공무원,40000
29,여,석사,공무원,36000
25,남,학사,공무원,13400
35,남,전문학사,자영업,40000
35,여,전문학사,자영업,30000
43,남,고졸,자영업,65150
29,여,학사,공무원,48000
27,남,전문학사,기업,50000
27,남,중졸이하,기업,65000
23,남,전문학사,기업,32200
45,여,고졸,자영업,40000
47,남,학사,기업,140000
46,여,전문학사,기업,63000
47,남,고졸,기업,63000
46,여,석사,기업,200000
43,남,석사,기업,128000
33,남,고졸,기업,40000
28,여,고졸,기업,20000
39,남,학사,기업,105000
27,남,학사,기업,128500
30,여,석사,비영리단체,61200
32,남,전문학사,기업,60000
50,남,박사,공무원,130200
41,여,석사,공무원,115000
25,남,학사,기업,36760
42,여,고졸,공무원,20900
27,여,학사,기업,37100
28,남,중졸이하,기업,23000
40,여,학사,기업,29000
35,남,학사,기업,125020
36,남,고졸,기업,40000
47,여,학사,공무원,87600
43,남,중졸이하,기업,18000
42,여,전문학사,공무원,54000
39,여,학사,기업,119000
31,남,학사,기업,40000
25,남,전문학사,기업,47000
49,여,학사,기업,51000
33,여,고졸,기업,65000
37,남,전문학사,공무원,90000
31,여,전문학사,기업,45000
30,여,고졸,기업,65000
27,여,전문학사,기업,30000
30,남,고졸,기업,20000
30,남,석사,비영리단체,8300
32,여,학사,기업,57000
44,여,학사,기업,74000
49,남,전문학사,기업,36000
48,여,전문학사,기업,23000
47,남,고졸,기업,15700
30,여,전문학사,공무원,31000
31,여,석사,기업,59150
43,남,고졸,기업,20000
36,여,전문학사,기업,95000
33,남,전문학사,기업,45000
47,남,고졸,비영리단체,50010
44,남,고졸,비영리단체,6700
39,남,전문학사,기업,41620
25,여,학사,기업,14400
25,여,학사,비영리단체,36000
25,남,학사,비영리단체,100000
44,여,석사,비영리단체,230000
39,남,학사,기업,100000
34,남,학사,기업,31000
35,남,고졸,기업,21500
45,여,학사,기업,134000
50,여,전문학사,기업,45400
28,남,학사,기업,63150
29,여,석사,비영리단체,56000
33,여,고졸,기업,11100
42,남,석사,기업,53000
22,남,전문학사,기업,6000
30,남,박사,기업,131000
25,남,학사,기업,23100
31,남,고졸,기업,38000
29,남,고졸,기업,40000
46,남,학사,기업,120000
25,여,학사,기업,30000
25,남,전문학사,기업,39010
35,남,석사,기업,120000
29,여,학사,기업,150000
48,여,고졸,기업,45000
30,여,중졸이하,기업,13000
42,여,석사,공무원,80000
41,남,석사,공무원,80000
42,여,고졸,공무원,50000
46,여,전문학사,기업,54020
29,여,학사,기업,65000
25,여,전문학사,기업,12900
29,남,전문학사,공무원,54000
35,여,석사,공무원,56900
29,남,석사,공무원,50000
42,남,중졸이하,비영리단체,30000
28,남,중졸이하,기업,13000
45,여,학사,기업,48000
31,남,고졸,기업,41000
33,여,학사,기업,92000
32,여,고졸,기업,33000
43,여,학사,비영리단체,86800
41,남,석사,기업,48900
33,여,석사,공무원,35000
28,남,학사,기업,51500
24,남,고졸,기업,31500
46,남,고졸,기업,35000
42,남,고졸,기업,11800
24,여,학사,공무원,22900
26,남,전문학사,기업,35000
48,남,석사,자영업,140000
33,여,고졸,공무원,30000
33,남,전문학사,기업,35000
31,남,전문학사,기업,90000
42,남,고졸,자영업,19200
50,남,전문학사,기업,113000
39,남,전문학사,자영업,22400
23,남,고졸,자영업,4800
50,여,전문학사,기업,49000
48,남,고졸,기업,51000
46,남,고졸,비영리단체,70000
38,여,학사,기업,72000
39,남,전문학사,기업,62000
35,여,고졸,기업,22000
48,남,전문학사,기업,36000
47,여,전문학사,기업,36000
33,남,학사,자영업,150000
47,남,고졸,기업,23900
45,남,고졸,자영업,250000
24,여,학사,기업,18000
30,남,고졸,기업,19000
28,남,전문학사,기업,11200
27,여,학사,기업,15000
28,여,고졸,비영리단체,24000
26,남,고졸,기업,60000
49,남,전문학사,자영업,38700
50,남,고졸,기업,31200
48,여,전문학사,공무원,25300
48,남,학사,기업,38000
28,남,학사,기업,110030
34,남,전문학사,기업,8400
40,여,전문학사,기업,38000
46,여,고졸,기업,31000
23,남,고졸,기업,9800
42,남,석사,기업,70800
43,여,학사,공무원,45000
40,남,중졸이하,기업,24000
33,여,고졸,기업,17800
43,여,고졸,기업,45000
39,여,전문학사,기업,27000
36,남,전문학사,공무원,10000
34,여,전문학사,기업,45000
37,여,학사,기업,40000
46,여,전문학사,공무원,32000
40,여,학사,공무원,54000
48,남,전문학사,기업,50000
37,남,석사,기업,93000
28,여,전문학사,기업,24000
33,남,전문학사,기업,21000
38,남,전문학사,기업,43600
32,여,전문학사,기업,25000
34,남,학사,기업,59000
32,여,석사,공무원,44500
42,남,전문학사,비영리단체,44000
48,여,중졸이하,기업,4400
34,여,학사,공무원,33500
39,여,학사,비영리단체,35000
24,남,고졸,기업,10000
29,남,전문학사,기업,35000
45,여,학사,기업,105000
45,남,고졸,기업,25000
42,남,고졸,비영리단체,7200
28,남,석사,비영리단체,30000
32,남,학사,기업,37900
45,여,고졸,기업,24000
41,여,고졸,기업,38000
49,남,학사,공무원,87000
40,남,고졸,기업,15000
32,여,학사,기업,64000
34,남,고졸,기업,46000
28,여,석사,비영리단체,56000
40,여,전문학사,기업,24000
28,여,학사,기업,56000
31,남,학사,기업,65000
33,여,전문학사,공무원,37000
48,남,고졸,기업,65000
28,여,학사,공무원,35000
37,남,고졸,기업,15000
29,남,중졸이하,기업,17000
33,남,학사,공무원,125000
38,남,전문학사,기업,68000
33,남,학사,기업,41300
40,남,중졸이하,자영업,8000
47,여,석사,공무원,86800
47,남,박사,기업,172000
46,남,고졸,기업,47200
42,여,전문학사,자영업,45000
45,여,학사,기업,70000
28,여,학사,공무원,88000
42,남,전문학사,기업,60000
40,여,전문학사,공무원,51950
29,남,석사,기업,65200
46,남,고졸,기업,57000
47,여,전문학사,기업,40000
47,남,고졸,기업,40000
40,남,학사,기업,38000
27,남,전문학사,기업,59000
50,남,석사,기업,75000
28,여,석사,공무원,34000
28,남,석사,기업,50000
37,남,고졸,비영리단체,30000
49,여,고졸,기업,50000
47,남,고졸,공무원,32000
39,남,중졸이하,기업,18500
46,여,전문학사,공무원,26000
29,여,학사,비영리단체,52400
47,남,고졸,기업,85000
34,여,고졸,기업,19200
45,여,고졸,기업,18900
39,남,전문학사,기업,65000
44,남,전문학사,기업,109000
40,여,전문학사,기업,30400
36,남,고졸,기업,30000
33,여,고졸,기업,25000
50,여,고졸,비영리단체,37390
27,남,학사,기업,40000
47,남,고졸,기업,34000
31,여,고졸,기업,22720
49,남,전문학사,기업,58000
27,여,학사,기업,72300
27,남,학사,비영리단체,29000
29,남,전문학사,기업,31000
45,남,고졸,기업,36000
47,여,고졸,기업,30000
36,남,고졸,기업,32000
39,남,학사,기업,107570
41,남,학사,기업,50000
43,남,석사,기업,75000
30,남,전문학사,기업,24000
30,여,중졸이하,기업,31000
30,남,석사,기업,22000
27,여,학사,기업,4800
40,남,고졸,기업,8200
35,남,박사,기업,140000
30,남,학사,비영리단체,25000
27,남,석사,비영리단체,34200
48,남,고졸,자영업,50000
43,남,전문학사,기업,100000
42,여,석사,공무원,50000
37,남,고졸,기업,28000
22,남,전문학사,비영리단체,54300
22,여,고졸,기업,57000
49,여,전문학사,기업,21000
37,남,전문학사,자영업,26000
50,남,학사,기업,46500
49,남,고졸,기업,48900
28,여,석사,비영리단체,50000
38,남,학사,기업,96000
24,남,고졸,기업,15000
20,여,전문학사,기업,20000
27,남,학사,기업,58000
41,여,고졸,비영리단체,24000
41,여,석사,기업,22000
50,남,고졸,기업,58000
45,남,전문학사,기업,40600
42,남,학사,기업,80000
30,남,고졸,기업,26000
46,남,학사,공무원,100000
49,남,고졸,자영업,65000
50,여,고졸,비영리단체,13004
44,남,고졸,기업,35000
30,여,학사,기업,26000
44,여,고졸,기업,5900
45,남,전문학사,기업,17800
29,남,학사,기업,80000
28,여,학사,기업,50000
48,남,고졸,기업,45000
27,여,학사,기업,42000
44,남,고졸,기업,75000
39,남,석사,기업,50000
43,여,전문학사,공무원,19710
42,남,고졸,공무원,39610
50,여,전문학사,비영리단체,37500
50,남,고졸,비영리단체,20400
43,남,중졸이하,기업,16800
39,남,석사,기업,55000
38,남,중졸이하,기업,42000
33,남,중졸이하,자영업,31000
48,여,전문학사,기업,41300
34,남,고졸,공무원,26400
30,여,석사,공무원,44000
38,여,전문학사,기업,52000
43,여,전문학사,기업,31000
45,남,중졸이하,기업,32000
49,남,고졸,기업,40000
45,여,전문학사,비영리단체,35200
48,여,고졸,기업,32000
48,여,전문학사,기업,4800
47,여,전문학사,비영리단체,10000
37,남,학사,공무원,26000
26,여,고졸,기업,12000
35,여,학사,기업,100000
38,남,석사,기업,150000
35,남,석사,기업,123000
39,남,전문학사,기업,26800
23,남,고졸,기업,15000
39,남,석사,자영업,130100
48,여,학사,비영리단체,33200
48,여,전문학사,비영리단체,40000
50,남,중졸이하,기업,56900
30,남,학사,기업,40000
43,남,고졸,기업,70000
43,여,석사,기업,33000
27,여,고졸,기업,20000
40,남,전문학사,기업,26000
39,여,학사,비영리단체,40500
28,남,중졸이하,기업,40000
28,남,고졸,기업,33000
29,남,고졸,기업,15000
33,여,전문학사,기업,33700
34,남,전문학사,자영업,64000
30,남,전문학사,기업,64000
29,여,학사,기업,30000
50,남,학사,비영리단체,37000
25,여,고졸,기업,13000
44,남,석사,기업,45000
43,여,고졸,기업,17500
42,여,전문학사,기업,28000
26,남,중졸이하,기업,22000
22,남,중졸이하,기업,17000
50,남,고졸,기업,85000
47,남,전문학사,기업,90000
45,남,전문학사,기업,30000
45,여,고졸,기업,11400
22,남,전문학사,기업,30000
33,남,전문학사,기업,91000
24,여,전문학사,기업,27000
26,남,고졸,기업,29000
42,남,전문학사,기업,75000
43,여,학사,기업,90000
24,여,전문학사,기업,23000
